# Created by: riboviz
# Date: 2023-06-29 01:56:14
# File: /Users/carolineeastwood/Desktop/Diss_project/riboviz_dependencies_packages/riboviz/rscripts/generate_stats_figs.R
# Version: commit a2ebaa7dac383e6ce0972626bf57fdba105d1780 date 2021-12-17 12:36:35 GMT
Length	Counts
10	0
11	0
12	181
13	164
14	87
15	88
16	109
17	103
18	119
19	115
20	125
21	155
22	130
23	126
24	143
25	239
26	326
27	1134
28	2740
29	1916
30	274
31	11
32	2
33	1
34	1
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
