# Created by: riboviz
# Date: 2023-06-29 01:56:10
# File: /Users/carolineeastwood/Desktop/Diss_project/riboviz_dependencies_packages/riboviz/rscripts/generate_stats_figs.R
# Version: commit a2ebaa7dac383e6ce0972626bf57fdba105d1780 date 2021-12-17 12:36:35 GMT
Length	Counts
10	0
11	0
12	4
13	7
14	12
15	26
16	46
17	52
18	71
19	79
20	59
21	120
22	185
23	170
24	330
25	462
26	659
27	2216
28	4998
29	3819
30	840
31	39
32	7
33	0
34	1
35	0
36	0
37	1
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
