# Created by: riboviz
# Date: 2023-06-29 01:58:32.957661
# Command-line tool: /Users/carolineeastwood/Desktop/Diss_project/riboviz_dependencies_packages/riboviz/riboviz/tools/count_reads.py
# File: /Users/carolineeastwood/Desktop/Diss_project/riboviz_dependencies_packages/riboviz/riboviz/count_reads.py
# Version: commit a2ebaa7dac383e6ce0972626bf57fdba105d1780 date 2021-12-17 12:36:35+00:00
SampleName	Program	File	NumReads	Description
WTnone	input	/Users/carolineeastwood/Desktop/Diss_project/riboviz_dependencies_packages/riboviz/vignette/input/SRR1042855_s1mi.fastq.gz	963571	input
WT3AT	input	/Users/carolineeastwood/Desktop/Diss_project/riboviz_dependencies_packages/riboviz/vignette/input/SRR1042864_s1mi.fastq.gz	1374448	input
WT3AT	cutadapt	/Users/carolineeastwood/Desktop/Diss_project/riboviz_dependencies_packages/riboviz/vignette/tmp/WT3AT/trim.fq	1373353	Reads after removal of sequencing library adapters
WT3AT	hisat2	/Users/carolineeastwood/Desktop/Diss_project/riboviz_dependencies_packages/riboviz/vignette/tmp/WT3AT/nonrRNA.fq	486225	Reads that did not align to rRNA or other contaminating reads in rRNA index files
WT3AT	hisat2	/Users/carolineeastwood/Desktop/Diss_project/riboviz_dependencies_packages/riboviz/vignette/tmp/WT3AT/rRNA_map.sam	887128	Reads aligned to rRNA and other contaminating reads in rRNA index files
WT3AT	hisat2	/Users/carolineeastwood/Desktop/Diss_project/riboviz_dependencies_packages/riboviz/vignette/tmp/WT3AT/unaligned.fq	477784	Unaligned reads removed by alignment of remaining reads to ORFs index files
WT3AT	hisat2	/Users/carolineeastwood/Desktop/Diss_project/riboviz_dependencies_packages/riboviz/vignette/tmp/WT3AT/orf_map.sam	8698	Reads aligned to ORFs index files
WT3AT	riboviz.tools.trim_5p_mismatch	/Users/carolineeastwood/Desktop/Diss_project/riboviz_dependencies_packages/riboviz/vignette/tmp/WT3AT/orf_map_clean.sam	8698	Reads after trimming of 5' mismatches and removal of those with more than 2 mismatches
WTnone	cutadapt	/Users/carolineeastwood/Desktop/Diss_project/riboviz_dependencies_packages/riboviz/vignette/tmp/WTnone/trim.fq	952333	Reads after removal of sequencing library adapters
WTnone	hisat2	/Users/carolineeastwood/Desktop/Diss_project/riboviz_dependencies_packages/riboviz/vignette/tmp/WTnone/nonrRNA.fq	467185	Reads that did not align to rRNA or other contaminating reads in rRNA index files
WTnone	hisat2	/Users/carolineeastwood/Desktop/Diss_project/riboviz_dependencies_packages/riboviz/vignette/tmp/WTnone/rRNA_map.sam	485148	Reads aligned to rRNA and other contaminating reads in rRNA index files
WTnone	hisat2	/Users/carolineeastwood/Desktop/Diss_project/riboviz_dependencies_packages/riboviz/vignette/tmp/WTnone/unaligned.fq	452987	Unaligned reads removed by alignment of remaining reads to ORFs index files
WTnone	hisat2	/Users/carolineeastwood/Desktop/Diss_project/riboviz_dependencies_packages/riboviz/vignette/tmp/WTnone/orf_map.sam	14516	Reads aligned to ORFs index files
WTnone	riboviz.tools.trim_5p_mismatch	/Users/carolineeastwood/Desktop/Diss_project/riboviz_dependencies_packages/riboviz/vignette/tmp/WTnone/orf_map_clean.sam	14516	Reads after trimming of 5' mismatches and removal of those with more than 2 mismatches
